1 0.69829 0.72055 0.69298
2 0.71663 0.72649 0.71010
3 0.69129 0.72382 0.68452
4 0.71064 0.72636 0.70185
5 0.68428 0.63289 0.68132
6 0.73377 0.72278 0.72902
7 0.71591 0.73047 0.71012
8 0.71839 0.73586 0.71094
9 0.73587 0.73949 0.72853
10 0.73246 0.73427 0.72582
11 0.70929 0.71191 0.70328
12 0.73137 0.73797 0.72638
13 0.73872 0.73524 0.73321
14 0.73669 0.73350 0.72992
15 0.73349 0.73988 0.72641
16 0.73745 0.73147 0.73100
17 0.70552 0.73119 0.69768
18 0.72249 0.72867 0.71666
19 0.60172 0.52882 0.59770
20 0.73324 0.73500 0.72667
21 0.73147 0.73781 0.72495
22 0.60506 0.53181 0.60344
23 0.73039 0.73070 0.72466
24 0.73226 0.73170 0.72652
25 0.72277 0.73329 0.71668
26 0.71853 0.73274 0.71185
27 0.55780 0.48353 0.55745
28 0.68234 0.71556 0.67421
29 0.71262 0.72641 0.70560
30 0.71402 0.72793 0.70774
31 0.70413 0.72021 0.69732
32 0.69639 0.71874 0.69142
33 0.70480 0.72139 0.70017
34 0.71152 0.72307 0.70523
35 0.51178 0.43503 0.50726
