1 0.76709 0.75124 0.75879
2 0.77564 0.75528 0.76452
3 0.78235 0.76515 0.76955
4 0.78863 0.75367 0.77458
5 0.79468 0.76454 0.77616
6 0.79656 0.76190 0.77752
7 0.80054 0.75312 0.77875
8 0.80473 0.76625 0.78009
9 0.80565 0.75363 0.77798
10 0.80814 0.75398 0.77997
11 0.81346 0.74926 0.77990
12 0.81475 0.75650 0.78013
13 0.81831 0.75964 0.78150
14 0.82194 0.75991 0.78071
15 0.82171 0.75137 0.77984
16 0.82540 0.75010 0.78029
17 0.82883 0.75328 0.77846
18 0.82683 0.74460 0.77602
19 0.82920 0.74076 0.77716
20 0.83195 0.74159 0.77585
21 0.83239 0.76231 0.77455
22 0.83846 0.75257 0.77721
23 0.83769 0.76113 0.77546
24 0.84014 0.73470 0.77343
25 0.84394 0.73862 0.77273
26 0.84808 0.74746 0.77423
27 0.84646 0.75139 0.77252
28 0.84635 0.73726 0.77057
