1 0.635 0.623
2 0.661 0.639
3 0.673 0.646
4 0.682 0.651
5 0.690 0.656
6 0.697 0.659
7 0.702 0.663
8 0.706 0.665
9 0.709 0.667
10 0.712 0.668 0.699
11 0.715 0.669
12 0.718 0.671
13 0.720 0.672
14 0.723 0.672
15 0.725 0.672
16 0.726 0.672
17 0.728 0.673
18 0.730 0.673
19 0.732 0.674
20 0.734 0.674 0.706
21 0.736 0.675
22 0.737 0.676
23 0.740 0.676
24 0.742 0.677
25 0.744 0.677
26 0.746 0.678
27 0.747 0.678
28 0.749 0.679
29 0.751 0.679
30 0.753 0.679 0.711
31 0.755 0.680
32 0.756 0.680
33 0.758 0.681
34 0.759 0.681
35 0.761 0.681
36 0.762 0.681
37 0.763 0.681
38 0.764 0.681
39 0.765 0.681
40 0.766 0.681 0.713
41 0.767 0.681
42 0.768 0.681
43 0.769 0.680
44 0.769 0.680
45 0.770 0.680
46 0.771 0.680
47 0.772 0.679
48 0.773 0.680
49 0.773 0.680
50 0.774 0.679 0.713
51 0.775 0.679
52 0.775 0.679
53 0.776 0.679
54 0.776 0.679
55 0.777 0.678
56 0.777 0.678
57 0.778 0.677
58 0.778 0.677
