1 0.661 0.648
2 0.695 0.671
3 0.708 0.679
4 0.715 0.683
5 0.720 0.685
6 0.723 0.687
7 0.726 0.689
8 0.728 0.689
9 0.730 0.690
10 0.731 0.690 0.722
11 0.732 0.691
12 0.734 0.691
13 0.735 0.692
14 0.736 0.693
15 0.737 0.693
16 0.738 0.693
17 0.739 0.694
18 0.740 0.694
19 0.741 0.695
20 0.742 0.695 0.726
21 0.743 0.695
22 0.744 0.696
23 0.745 0.696
24 0.746 0.696
25 0.747 0.696
26 0.748 0.697
27 0.749 0.697
28 0.750 0.697
29 0.751 0.698
30 0.752 0.698 0.729
31 0.753 0.698
32 0.754 0.698
33 0.755 0.699
34 0.756 0.699
35 0.756 0.699
36 0.757 0.699
37 0.758 0.700
38 0.759 0.700
39 0.760 0.699
40 0.761 0.700 0.731
41 0.761 0.700
42 0.762 0.700
43 0.763 0.700
44 0.764 0.700
45 0.765 0.700
46 0.765 0.700
47 0.766 0.700
48 0.766 0.700
49 0.767 0.700
50 0.767 0.700 0.731
51 0.768 0.700
52 0.768 0.700
53 0.769 0.700
54 0.769 0.700
55 0.770 0.700
56 0.770 0.700
57 0.771 0.699
58 0.771 0.699
59 0.772 0.699
60 0.772 0.699 0.731
61 0.773 0.699
62 0.773 0.700
63 0.774 0.700
64 0.774 0.699
65 0.775 0.699
66 0.775 0.699
67 0.776 0.699
68 0.776 0.699
