1 0.627 0.617
2 0.667 0.647
3 0.680 0.655
4 0.690 0.660
5 0.698 0.665
6 0.704 0.669
7 0.708 0.671
8 0.712 0.673
9 0.715 0.673
10 0.717 0.674 0.703
11 0.719 0.673
12 0.721 0.673
13 0.722 0.673
14 0.724 0.673
15 0.725 0.673
16 0.726 0.672
17 0.728 0.672
18 0.729 0.672
19 0.731 0.672
20 0.733 0.673 0.706
21 0.734 0.674
22 0.736 0.674
23 0.737 0.675
24 0.739 0.675
25 0.740 0.675
26 0.741 0.675
27 0.743 0.676
28 0.744 0.676
29 0.746 0.676
30 0.748 0.676 0.711
31 0.749 0.676
32 0.750 0.676
33 0.752 0.676
34 0.753 0.676
35 0.754 0.676
36 0.755 0.676
37 0.756 0.676
38 0.757 0.676
39 0.758 0.676
40 0.759 0.676 0.713
41 0.760 0.676
42 0.761 0.676
43 0.761 0.676
44 0.762 0.675
45 0.763 0.676
46 0.763 0.676
47 0.764 0.675
48 0.765 0.675
49 0.765 0.675
50 0.766 0.675 0.714
51 0.766 0.675
52 0.767 0.675
53 0.767 0.675
54 0.768 0.674
55 0.768 0.674
56 0.768 0.674
